RUN	computerdatabase.BasicSimulation	basicsimulation	1648583820859	test sample	3.7.6
USER	Scenario Name	START	1648583830201
REQUEST		request_1	1648583830254	1648583830719	OK	 
REQUEST		request_1 Redirect 1	1648583830734	1648583831025	OK	 
REQUEST		request_2	1648583838068	1648583838294	OK	 
REQUEST		request_3	1648583840317	1648583840550	OK	 
REQUEST		request_4	1648583843566	1648583843823	OK	 
REQUEST		request_4 Redirect 1	1648583843824	1648583844131	OK	 
REQUEST		request_5	1648583846144	1648583846383	OK	 
REQUEST		request_6	1648583847067	1648583847305	OK	 
REQUEST		request_7	1648583847951	1648583848229	OK	 
REQUEST		request_8	1648583848970	1648583849251	OK	 
REQUEST		request_9	1648583854258	1648583854577	OK	 
REQUEST		request_10	1648583855607	1648583855907	OK	 
REQUEST		request_10 Redirect 1	1648583855925	1648583856215	OK	 
USER	Scenario Name	END	1648583856221
